doc_id,title,abstract,year,source,subject,author,pub_type
EJ1444863,Developing the Technology-Integrated Assessment Framework,"The purpose of this paper is to describe the development of a new framework for understanding technology-integrated assessment in higher education based on a review of the literature using the assessment design in a digital world framework (Bearman et al., 2022) as a lens. Our review (Madland et al., 2024) revealed both congruities and incongruities between the literature and the framework, leading to the need for further work to accurately conceptualize technology-integrated assessment. In this article, we contribute to the literature on technology-integrated assessment in higher education by proposing the technology-integrated assessment framework. This paper marks an important step in extending our understanding of the factors influencing instructors who integrate technology into their assessment practice and promoting ethical and equitable approaches to technology-integrated assessment in higher education.",2024,"",Technology Uses in Education; Technology Integration; Educational Technology; Evaluation Methods; Electronic Learning; Higher Education; Ethics; Equal Education; Artificial Intelligence; Digital Literacy; Integrity; Design,Colin Madland; Valerie Irvine; Chris DeLuca; Okan Bulut,Journal Articles; Reports - Descriptive
ED678160,Critical Perspectives on EdTech in Higher Education: Varieties of Platformisation,"This open access book provides critical perspectives on educational technology (EdTech) platforms and platformisation in higher education. It focuses on three analytical dimensions: higher education actors' struggles with the tension between autonomy from and dependence on EdTech platforms, the effects of platform features and platformisation on human interactions in higher education, and future scenarios and alternatives to dominant commercial paths. The book will appeal to academics interested in higher education digitalisation and digital teaching and learning, as well as higher education and educational technology practitioners.",2025,"",Educational Technology; Technology Uses in Education; Educational Trends; Social Problems; Man Machine Systems; Personal Autonomy; Higher Education; Electronic Learning,"Duncan A. Thomas, Editor; Vito Laterza, Editor",Books; Collected Works - General
EJ1250537,Students&apos; Academic Use of Mobile Technology and Higher-Order Thinking Skills: The Role of Active Engagement,"The academic use of mobile technology engages students beyond traditional classroom contexts. Over the past few years, higher education institutions have promoted students' learning and growth by supporting their use of mobile technology. Mobile technology offers educational possibilities that can enhance students' growth in higher education. The aim of this study is to examine the relationship between college students' academic use of mobile technology and higher-order thinking skills through their active engagement and learning effort. The sample consisted of 456 students at a university in South Korea, and the data were analyzed using partial least squares structural equation modeling. The results suggest that the academic use of mobile technology influences students' higher-order thinking skills directly, in addition to their learning effort and active engagement in courses. These findings provide valuable information for higher education institutions that seek to introduce interactive and technology-integrated environments.",2020,"",College Students; Handheld Devices; Technology Uses in Education; Thinking Skills; Learner Engagement; Foreign Countries; Academic Achievement,"Kim, Hye Jeong; Yi, Pilnam; Hong, Ji In",Journal Articles; Reports - Research
ED603350,EDUCAUSE Horizon Report: 2019 Higher Education Edition,"For 17 years, the New Media Consortium convened panels of experts from higher education and posed three key questions for them to discuss: (1) What is on the five-year horizon for higher education institutions?; (2) Which trends and technology developments will drive educational change?; and (3) What are the critical challenges and how can we strategize solutions? The resulting Horizon Report series charts the five-year impact of innovative practices and technologies for higher education across the globe. This year, for the first time, EDUCAUSE led this conversation and guided the 98-person global panel to review recent literature and discuss their experiences and forecasts regarding technology adoption and educational change. This report profiles six key trends, six significant challenges, and six developments in educational technology for higher education. These three sections of this report constitute a reference and technology planning guide for educators, higher education leaders, administrators, policymakers, and technologists. [For the &quot;NMC Horizon Report: 2018 Higher Education Edition,&quot; see ED594367.]",2019,"",Higher Education; Technology Integration; Educational Technology; Technology Uses in Education; Educational Innovation; Technological Advancement; Educational Change; Educational Trends; Blended Learning; Barriers; Technological Literacy; Instructional Design; Teaching Methods; Achievement Gap; Access to Computers; Equal Education; Electronic Learning; Handheld Devices; Learning Analytics; Computer Simulation; Artificial Intelligence; Integrated Learning Systems; Information Technology,"Alexander, Bryan; Ashford-Rowe, Kevin; Barajas-Murphy, Noreen; Dobbin, Gregory; Knott, Jessica; McCormack, Mark; Pomerantz, Jeffery; Seilhamer, Ryan; Weber, Nicole",Reports - Research
EJ1478983,Research on the Impact Mechanisms of Immersive Virtual Reality Technology in Enhancing the Effectiveness of Higher Folk Dance Education: Base on Student Perspective,"Traditional higher education in folk dance faces challenges such as limited resources and uneven teaching effectiveness. The introduction of Immersive Virtual Reality (IVR) technology offers potential solutions to these issues; however, there is a lack of research to substantiate its efficacy. Therefore, this study aims to explore the application effects of IVR technology in higher folk dance education. Through experimental design and questionnaire surveys, the study collected and analyzed the learning experiences and outcomes of 491 students in an IVR environment. Empirical results indicate that the three characteristics of immersive virtual reality technology--immersion, interactivity, and personalization--can directly enhance the educational effectiveness of higher folk dance education. Secondly, the immersion, interactivity, and personalization of immersive virtual reality technology can promote classroom perceived usefulness, ease of learning, and interestingness. Thirdly, classroom perceived usefulness, ease of learning, and interestingness can significantly enhance the educational effectiveness of higher folk dance education. Fourthly, classroom perceived usefulness, ease of learning, and interestingness each play a significant mediating role in the process where immersion, interactivity, and personalization of immersive virtual reality technology enhance the educational effectiveness of higher folk dance education. In terms of theoretical contributions, this study expands the research framework in the fields of educational technology and dance education, providing new perspectives and methodological foundations, and revealing the important role of IVR technology in education. Practically, this study offers valuable references for educators and technology developers, thus promoting the development of higher folk dance education. Through the findings and conclusions of this study, we demonstrate the immense potential of technology in educational innovation, providing new directions and references for higher folk dance education.",2025,"",Computer Simulation; Computer Uses in Education; Folk Culture; Dance Education; Student Attitudes; College Students; Higher Education; Instructional Effectiveness; Usability; Interaction; Educational Technology; Electronic Learning,Feng Guang; Zong Xueliang,Journal Articles; Reports - Research
EJ1194643,"Student Success: Academic Advising, Student Learning Data, and Technology","Two of the most important issues facing those in the field of academic advising are the use of technology and data analytics. There is no question that technology and data will shape the delivery and expectations for academic advising in higher education in the years to come. This chapter explores the intersections between advising, technology, and data.",2018,"",Academic Achievement; Academic Advising; Data Analysis; Technology Uses in Education; Higher Education; Correlation,"Steele, George E.",Journal Articles; Reports - Descriptive
EJ1447849,The Disconnect between Student and Educator Perspectives on Effective Technology Usage in Higher Education,"This article explores the disconnect between student and educator perspectives regarding practical technology usage in higher education. As technology continues to play an increasingly prominent role in the educational landscape, understanding the differing viewpoints of students and educators is crucial for designing impactful technology integration strategies. Through a comprehensive literature review, this article examines the factors contributing to the disconnect and its implications for teaching and learning in higher education. Additionally, recommendations are provided to bridge this gap and promote a more aligned understanding of effective technology usage between students and educators.",2024,"",College Students; College Faculty; Teacher Attitudes; Student Attitudes; Technology Uses in Education; Higher Education; Computer Attitudes; Educational Benefits,Matt Marino,Journal Articles; Information Analyses
EJ1288228,Response to Flavin on Disruptive Innovation and Technology Enhanced Learning: Affordances for Disruption,"Given the experiences of educators and learners through the COVID-19 pandemic, it is certainly timely to explore disruption in higher education. As Flavin rightly states, despite radical changes in technology over the last 20 years, technology has not disrupted higher education in any meaningful way. However, within the last 12 months, COVID-19 has, at least temporarily. In this response the author will explore both why the transformative power of technology has not been harnessed to its full potential in higher education and what the transformative potential could be in pedagogical terms. The final section examines the potential of COVID-19 as a catalyst for change in higher education, looking at the identified needs of learners and the potential for technology to respond to these. [For the original article, &quot;Disruptive Innovation and Technology Enhanced Learning,&quot; see EJ1288163.]",2021,"",Educational Innovation; Educational Change; Educational Technology; Higher Education; Affordances; COVID-19; Criticism,"Devitt, Ann",Journal Articles; Reports - Evaluative; Opinion Papers
EJ1243769,How Research Informs Educational Technology Decision-Making in Higher Education: The Role of External Research versus Internal Research,"Research use in educational decision-making has been encouraged and well documented at the K-12 education level in the United States but not in higher education, or more specifically for educational technology. We conducted a qualitative study to investigate the role of research in decisions about acquiring and using educational technology for teaching and learning in higher education. Results from 45 interviews of decision-makers in higher education show that they engage in different types of research activities throughout the decision-making process, but that in most cases the research is lacking in methodological rigor. Externally-produced, scientifically-rigorous research was mentioned in less than 20% of interviews. Decision-makers often conduct their own internal investigations on educational technology products and strategies producing locally-relevant, but usually less-than rigorous, evidence to inform decisions about continuing use of the technology or scaling up.",2020,"",Educational Research; Evidence Based Practice; Educational Technology; Decision Making; Higher Education,"Hollands, Fiona; Escueta, Maya",Journal Articles; Reports - Research
EJ1165149,Sociocultural Paradoxes and Issues in E-Learning Use in Higher Education Africa,"Sociocultural issues are major contributing factors in mass acceptance and effective use of technology. These issues are often perceived to contradict the benefits the technology brings about. E-learning use in higher education in Africa, as a technology, faces some sociocultural barriers that contradict its promise and benefits. This paper identifies five social cultural paradoxes, namely globalisation, cultural identity, westernisation, authenticity and foreign ideologies, with the aim of creating awareness of, and eliciting the interventions required to improve the acceptance and use of e-learning. The paper presents the differing and contradictory views of technology advocates and technology sceptics on the use of e-learning in higher in Africa.",2018,"",Sociocultural Patterns; Electronic Learning; Higher Education; Foreign Countries; Technology Uses in Education; Educational Technology; Barriers; Global Approach; Cultural Influences,"Njenga, James Kariuki",Journal Articles; Reports - Evaluative
ED593135,Higher Education Technology Leadership: A Delphi Study,"This Delphi study asked a 25-member expert panel of higher education technology leaders to examine requirements for their role and make predictions a future higher education technology leader (eg. Chief Information Officer or CIO) will need to succeed. The panel, representing a range of institution sizes and types, assisted in exploring the following research questions supporting this study: 1. What are the key functional roles of the higher education technology leader in 5-10 years? 2. What are the essential skills a higher education technology leader will need in 5-10 years? 3. What is the ideal formal education a higher education technology leader will need in 5-10 years? 4. What is the ideal career path a higher education technology leader will need in 5-10 years? The panel found broad agreement on the roles and skills a future higher education technology leader will require with 90% and 85% of items respectively reaching agreement on likeliness. In contrast, there was little agreement on what the formal education requirements for this individual should be nor was there agreement on the career experiences one requires to be successful in the role with only 13% and 32% of items reaching agreement on likeliness. The panel also agreed the CIO title was likely to be the primary title in the future despite the introduction of new &quot;chief&quot; titles relating to technology. This information can be used by aspiring CIOs to plan their career or to design professional development programs and other educational opportunities. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]",2018,"",Higher Education; Educational Technology; Instructional Leadership; Leaders; Delphi Technique; College Administration; Administrators; Administrator Role,"Huer, Jonathan Blake",Dissertations/Theses - Doctoral Dissertations
EJ1311778,A Review on the Adoption of E-Learning Technology in Higher Education,"E-learning is a technology which enables to deliver information via the internet for teaching and learning, and still needs to be studied. The main objective of this study is to review the present adoption of E-learning technology in higher education sectors. This study provides an idea to the researchers about the prior studies on the adoption of E-learning technology. A few studies on the adoption of E-learning technology which have been carried out in both developed and developing countries are also indicated. There is high potential in developing countries' for use of technology especially in higher education sector. Future studies should investigate the factors that could affect the adoption of E-learning technology in both developing and developed countries.",2021,"",Electronic Learning; Technology Integration; Adoption (Ideas); Barriers; Affordances; Higher Education; Educational Research; Academic Achievement; Developed Nations; Developing Nations; Foreign Countries,"Lahrash, Husam A. E.; Elmansori, Mansaf M.; Salama, Mostafa",Journal Articles; Reports - Descriptive
EJ1421953,(No) Hope for the Future? A Design Agenda for Rewidening and Rewilding Higher Education with Utopian Imagination,"This article argues for exploring, connecting, and applying utopian imagination, speculative design, and planetary thinking as a way forward for higher education to reimagine and move towards more hopeful planetary futures. It examines hopepunk and solarpunk perspectives on possible futures to propose a design agenda for rewidening and rewilding higher education and educational technology with utopian imagination. Firstly, the article outlines and develops a framework for wider and wilder futures in higher education, emerging from utopian thinking and desire. Secondly, it connects hopepunk with speculative design and solarpunk with planetary design to highlight and put forward rebellious strategies of hope in envisioning more preferable futures. Thirdly, it approaches the field of educational technology within the context of wide and wild education to establish four planetary orientations concerning educational technology: Higher Education for, in, with, and by the world. Taken together, the article proposes a design agenda for educational technology that integrates utopian imagination and solarpunk practices with planetary educational technology to catalyse the development of more preferable futures in a more-than-human world.",2024,"",Higher Education; Futures (of Society); Educational Technology; Imagination; Educational Change; Instructional Design,Rikke Toft Nørgård; Kim Holflod,Journal Articles; Reports - Evaluative
EJ1465317,Effect of Technology Acceptance on Student Commitment in Turkish Higher Education,"There is strong evidence in the relevant literature that the use of technology in higher education positively affects academic achievement and motivation. However, while there are some international studies on the effect of technology acceptance on college student commitment, it is understood that there has not been enough research in the national literature on this topic. In this context, this study aims to examine the effect of college students' tendencies toward using digital technology on student commitment. This research was conducted with a total of 321 Turkish college students and data were collected using the Student Commitment Scale in Higher Education developed by Çinkir et al. (2021) and the Tendency Scale for Using Technology in Class developed by Günüç and Kuzu (2014). The research revealed that college students generally have a favourable attitude (3.96) and inclination (3.82) towards using digital technology during classes, alongside a moderate level of dedication (3.42) to their university. Additionally, it was discovered that students who are highly committed to their higher education also tend to use digital technology more in classrooms. Notably, the analysis indicates that around 12% of the variance in college students' commitment to higher education can be explained by their inclination towards digital technology use. This emphasises the significance of integrating digital tools in educational settings, as it appears to positively influence students' engagement and commitment to their studies.",2025,"",Higher Education; College Students; Technology Uses in Education; Student Attitudes; Educational Technology; Academic Persistence; Foreign Countries,Yunus Dogan; Coskun Akça,Journal Articles; Reports - Research
EJ1191925,Latinos: Higher Education and Technology,"The Latino-Ethnic group are an ethnic group that have been overlooked in research studies for many years now. Researchers have addressed needs to increase higher education rates in various ethnic groups across the nation. However, the Latino-ethnic group continues to remain with lower higher education success rates. The purpose of this study is to understand the dynamics involved with Latino-ethnic group, higher education, technology, and academic success rates. The researcher will use a meta-analyse of peer reviewed articles to fully understand the research findings related to the purpose of this study and suggest future research. Conflict theory was used to better understand the dynamics involved in the research field that focus on the Latino-ethnic group and technology and academic success.",2018,"",Hispanic American Students; Higher Education; Educational Attainment; Academic Achievement; Meta Analysis; Information Technology; Correlation; Technology Integration; Teaching Methods,"Flores, Sylvia L.; Flores, Luis A.",Journal Articles; Reports - Research
EJ1230345,Technology Enhanced Learning as Transformative Innovation: A Note on the Enduring Myth of TEL,"The purpose of this paper is to offer a critical insight into the ubiquity of technology enhanced learning. The use of technology in higher education is underpinned by a promise that technology will enhance teaching and learning despite an apparent lack of systematic evidence. This raises questions of how this enhancement agenda persists, and of how technology has established a position of dominance within higher education. This orthodoxy is evident across a range of relevant actors, from commercial interests, universities, government, academics, and technologists. This paper utilises a critical logics approach, which problematises the competing interests of these different actors, exploring ways in which the social, political and fantasmatic practices between these actors contribute to the ubiquity and dominance of technology enhanced learning. This paper argues that the technology enhanced project resists in-depth critique, with the repeated failure of technology to transform education attributed towards academics, students and institutions.",2019,"",Technology Uses in Education; Electronic Learning; Educational Change; Higher Education; Educational Innovation; Technological Advancement; Online Courses; Blended Learning; Computer Attitudes; Educational Benefits,"Goodchild, Tim; Speed, Ewen",Journal Articles; Reports - Evaluative
EJ1415919,Towards Teaching-Sensitive Technology: A Hermeneutic Analysis of Higher Education Teaching,"Integrating digital technologies to benefit teaching and learning has long been driving higher education. The uptake of technology has been supported by teacher training focused on developing teachers' capabilities to design for learning. However, in this paper, we raise the point of moving towards teaching-sensitive technology as a clear alternative to current strategies focusing on teachers' mental processes. To develop this point, the paper offers a qualitative study that explores teaching to identify critical features of technology supporting teachers' work. Analysing teaching from a hermeneutic perspective, we arrive at six fundamental dynamics within which teachers operate. Based on the factors identified, we present three principles to guide future design of technologies for teaching and two approaches to designing technology sensitive to teachers' values.",2024,"",Technology Uses in Education; Educational Technology; Influence of Technology; Technology Integration; Foreign Countries; College Faculty; Teaching Experience; Teacher Attitudes,Maria Hvid Stenalt; Helle Mathiasen,Journal Articles; Reports - Research
ED597742,Diversity in Higher Education Information Technology: From Today&apos;s Workforce to Tomorrow&apos;s Leaders,"The information technology (IT) workforce serves many vital functions in higher education, supporting campus computing needs ranging from advanced research and business and administrative operations to student learning and technology needs. As IT becomes an increasingly important part of the success of higher education, it is equally important to understand factors that help promote and maintain the success of higher education's IT workforce. This research brief provides a snapshot of diversity and pay equity in higher education IT, a look at the aging of IT administrators, and the characteristics of possible pipeline positions from data collected in the 2018 CUPA-HR &quot;Administrators in Higher Education, Professionals in Higher Education,&quot; and &quot;Staff in Higher Education&quot; surveys. In all, higher education institutions provided data for over 36,577 incumbents in 51 information technology positions for the 2017-18 academic year.",2019,"",Information Technology; Higher Education; Salaries; Aging (Individuals); Race; Ethnicity; Gender Differences; Employees; Labor Force; Racial Composition; Minority Groups; Geographic Regions; Comparative Analysis; College Administration; College Faculty; Retirement; Information Systems; Cultural Pluralism; Disproportionate Representation; Administrator Characteristics,"Pritchard, Adam; McIntosh, Keith; McChesney, Jasper",Reports - Descriptive
EJ1427073,A Study of Digitalization of Higher Education Institutions in the Caribbean,"As technology integration advances, higher education institutions (HEIs) are experiencing varying degrees of digitalization of their systems, processes and services. This qualitative study explores the status of technology integration and the digital infrastructure of five higher education institutions within the Caribbean. It seeks to answer three questions: i) what is the level of digitization in the institutions' systems? ii) what is the status of technology integration in the teaching-learning processes in the institutions? iii) what types of digital infrastructures are in place to support the institutional functions? The analysis of the data reveals advances in the digitalization of a number of areas including communication processes, administrative processes, the student life cycle processes and in teaching and learning. This study provides important insights into the evolving landscape of digitalization of higher education within the Caribbean, and should serve to inform policy and practice in this important area.",2024,"",Foreign Countries; Educational Technology; Technology Uses in Education; Higher Education; Technology Integration; College Administration; Interpersonal Communication; College Students; College Instruction; Faculty Development,Shermaine A. M. Barrett; Eraldine S. Williams-Shakespeare,Journal Articles; Reports - Research
EJ1426568,Navigating the Digital Frontier: Exploring Opportunities and Challenges in the Integration of Technology in Higher Education,"The incorporation of computer technology in higher education has experienced substantial expansion and evolution in recent years. This study aims to examine the possibilities and problems that emerge throughout the integration process. Through an analysis of the multifaceted components associated with integrating computer technology within higher education, this study attempts to elucidate the prospective advantages and challenges encountered by educational institutions, instructors, and learners. The study relies on an examination of pertinent academic literature, case studies, and empirical research. This study identifies and assesses various significant opportunities, such as accessibility to educational resources, personalized learning experiences, enhanced engagement and collaboration, and the acquisition of crucial digital skills that arise from the integration of computer technology. Furthermore, this study delves into the possible beneficial implications of computer technology on the efficacy of institutions, cost-efficiency, and administrative functions. Incorporating computer technology in higher education poses several challenges, such as the digital gap, concerns about privacy and data security, the necessity for faculty training and support, alterations in pedagogy, and the possible diversions that may arise due to technology that require careful consideration. The study suggests a thorough examination of the many opportunities and challenges that are involved with technological integration in higher education.",2024,"",Technology Integration; Computers; Access to Education; Independent Study; Learner Engagement; Cooperation; Digital Literacy; Skill Development; Higher Education; Computer Uses in Education; School Effectiveness; Literature Reviews; Content Analysis; Computer Assisted Instruction; Foreign Countries; Educational Technology,Yadu Prasad Gyawali; Meghna Mehndroo,Journal Articles; Reports - Research
